Name,Model,Price,City,Voivodeship,Production Year,Mileage,Engine Type,Engine Capacity
Volvo,FH 13 500,125 460 PLN,Szczecin,Zachodniopomorskie,2012,1 027 000 km,Diesel,12 777 cm3
Scania,p230,57 687 PLN,Wałdowo,Kujawsko-pomorskie,2009,664 269 km,Diesel,9 290 cm3
Mercedes-Benz,ACTROS,99 999 PLN,Tarnobrzeg,Podkarpackie,2001,282 100 km,Diesel,11 946 cm3
Volvo,FH500,200 000 PLN,Iłów,Mazowieckie,2016,1 380 931 km,2016,Diesel
Mercedes-Benz,MERCEDES-BENZ Arocs - betonomieszarka Stetter,430 500 PLN,Pietrzykowice,Dolnośląskie,2017,80 161 km,Diesel,10 677 cm3
DAF,FT XF 105,83 640 PLN,Łuków,Lubelskie,2012,1 188 553 km,Diesel,12 902 cm3
DAF,106 460,164 820 PLN,Radzyń Podlaski,Lubelskie,2016,608 000 km,Diesel,12 902 cm3
Star,200,15 990 PLN,Krosno,Podkarpackie,1990,132 428 km,1990,Diesel
Scania,R450,179 999 PLN,Gorzów Wielkopolski,Lubuskie,2017,953 242 km,Diesel,12 742 cm3
Mercedes-Benz,ACTROS 3331 6x6 HDS ATLAS 240.2E DO ENERGETYKI Z NIEMIEC,183 000 PLN,Ślesin,Wielkopolskie,1998,348 000 km,Diesel,11 946 cm3
DAF,CF/65.220/Automat/E5/Dmc18000kg/,49 900 PLN,Bodzentyn,Świętokrzyskie,2009,960 258 km,Diesel,6 693 cm3
Volvo,FH 500,329 000 PLN,Kraków,Małopolskie,2019,396 000 km,Diesel,12 777 cm3
Scania,R450,366 540 PLN,Warszawa,Mazowieckie,2019,520 000 km,2019,Diesel
Volvo,FM 440 - pompa do betonu SERMAC 5RZ48,733 080 PLN,Pietrzykowice,Dolnośląskie,2007,261 768 km,Diesel,12 777 cm3
Mercedes-Benz,Actros MP4 1843,25 830 EUR,Kiełpino,Pomorskie,2016,731 784 km,Diesel,10 677 cm3
Renault,Magnum,65 000 PLN,Słomniki,Małopolskie,2012,1 340 000 km,Diesel,13 000 cm3
Renault,Fast Scooler 4,109 470 PLN,Piotrowiec,Świętokrzyskie,2012,269 015 km,Diesel,7 146 cm3
Ciągnik siodłowy,,245 000 PLN,Trzebinia,Małopolskie,2018,670 000 km,2018,Diesel
Volvo,FH,145 140 PLN,Warszawa,Mazowieckie,2013,984 000 km,2013,Diesel
Mol RELIANCE MERCURY YM185,,29 397 PLN,Wadowice Górne,Podkarpackie,1999,2 463 km,1999,Diesel
MAN,TGX 18.440 4x2 BLS,27 900 EUR,Rzekuń,Mazowieckie,2016,560 097 km,Diesel,12 419 cm3
Scania,R410,149 999 PLN,Gorzów Wielkopolski,Lubuskie,2014,1 120 752 km,Diesel,12 742 cm3
MAN,Tgx 18.500,184 500 PLN,Nowogard,Zachodniopomorskie,2017,699 632 km,2017,Diesel
