Name,Model,Price,City,Voivodeship,Production Year,Mileage,Engine Type,Engine Capacity
Ford,Nowy Transit,108 000 PLN,Kraków,Małopolskie,2021,121 000 km,Diesel,1 995 cm3
Iveco,Daily C35,42 900 PLN,Lublin,Lubelskie,2010,124 643 km,Diesel,2 287 cm3
Volkswagen,Crafter,197 791 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,1 968 cm3
Renault,Master,164 697 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,2 299 cm3
Renault,Master,161 828 PLN,Warszawa,Mazowieckie,2022,1 km,Diesel,2 299 cm3
Renault,Express Van,98 154 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,1 461 cm3
Fiat,Scudo,163 966 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,1 997 cm3
Fiat,Scudo,152 636 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,1 997 cm3
Citroën,Jumper,147 900 PLN,Warszawa,Mazowieckie,2022,1 km,Diesel,2 179 cm3
Peugeot,Boxer,161 999 PLN,Warszawa,Mazowieckie,2022,1 km,Diesel,2 179 cm3
Maxus,e-Deliver 9,370 107 PLN,Warszawa,Mazowieckie,2022,1 km,2022,Elektryczny
Peugeot,Boxer,159 000 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,2 179 cm3
Peugeot,Boxer,159 000 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,2 179 cm3
Maxus,e-Deliver 9,365 187 PLN,Warszawa,Mazowieckie,2022,1 km,2022,Elektryczny
Maxus,e-Deliver 3,211 154 PLN,Warszawa,Mazowieckie,2022,1 km,2022,Elektryczny
Peugeot,Partner Van,197 500 PLN,Warszawa,Mazowieckie,2023,1 km,2023,Elektryczny
Fiat,Scudo,249 872 PLN,Warszawa,Mazowieckie,2022,1 km,2022,Elektryczny
Fiat,Ducato,156 210 PLN,Warszawa,Mazowieckie,2022,1 km,Diesel,2 184 cm3
Peugeot,Expert,202 950 PLN,Warszawa,Mazowieckie,2022,1 km,2022,Elektryczny
Volkswagen,Crafter,214 926 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,1 968 cm3
Ford,Transit Custom,191 349 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,1 996 cm3
Peugeot,Expert,67 650 PLN,Bytom,Śląskie,2019,139 000 km,Diesel,1 997 cm3
Ford,Transit,202 212 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,1 996 cm3
Fiat,Fiorino Van,76 942 PLN,Warszawa,Mazowieckie,2022,1 km,Diesel,1 248 cm3
Ford,Transit Courier,98 000 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,1 498 cm3
Fiat,Ducato,335 790 PLN,Warszawa,Mazowieckie,2022,1 km,2022,Elektryczny
Ford,Transit Courier,98 000 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,1 498 cm3
Ford,Transit Courier,98 500 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,1 498 cm3
Ford,Transit Courier,98 277 PLN,Warszawa,Mazowieckie,2022,1 km,Diesel,1 498 cm3
Ford,Transit Custom,203 528 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,1 996 cm3
Ford,Transit Custom,185 090 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,1 996 cm3
Ford,Transit Custom,158 296 PLN,Warszawa,Mazowieckie,2022,1 km,Diesel,1 996 cm3
Fiat,Ducato,147 600 PLN,Warszawa,Mazowieckie,2022,1 km,Diesel,2 184 cm3
Ford,Transit,202 212 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,1 996 cm3
Ford,Transit Connect,134 537 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,1 498 cm3
Renault,Master,172 893 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,2 299 cm3
Mercedes-Benz,Sprinter 315,217 587 PLN,Ruda Śląska,Śląskie,2023,1 km,Diesel,1 950 cm3
Ford,Transit Custom,125 500 PLN,Kraków,Małopolskie,2018,70 965 km,Diesel,1 995 cm3
Opel,VIVARO,25 000 PLN,Kielce,Świętokrzyskie,2012,240 000 km,Diesel,1 995 cm3
Volkswagen,transporter T5 lift,41 999 PLN,Wolbrom,Małopolskie,2013,350 121 km,Diesel,2 000 cm3
Renault,Master,89 974 PLN,Raków,Świętokrzyskie,2019,247 300 km,2019,Diesel
Mercedes-Benz,"Vito Długi ! 2,2 ! 136 KM Automat ! Stan idealny! Bogate wyposażenie!",103 320 PLN,Łódź,Łódzkie,2018,151 370 km,Diesel,2 143 cm3
Citroën,Jumpy 3 osobowy ! Bagażnik dachowy !,70 110 PLN,Łódź,Łódzkie,2017,133 603 km,Diesel,1 560 cm3
Ford,Transit Connect  3 osobowy ! 2017r. Stan idealny !,60 147 PLN,Łódź,Łódzkie,2017,176 306 km,Diesel,1 499 cm3
Opel,Movano z zabudową specjalistyczną! L2H3 38 tys.km. !,66 051 PLN,Łódź,Łódzkie,2012,38 887 km,Diesel,2 298 cm3
Peugeot,Expert,18 300 PLN,Radomsko,Łódzkie,2016,290 000 km,Diesel,1 997 cm3
Renault,Trafic,31 900 PLN,Raków,Świętokrzyskie,2012,190 000 km,Diesel,2 000 cm3
Fiat,Ducato,118 941 PLN,Warszawa,Mazowieckie,2020,77 603 km,2020,Diesel
Iveco,IGLOOCAR DAILY,59 040 PLN,Milicz,Dolnośląskie,2015,820 249 km,Diesel,2 998 cm3
Opel,Combo,20 787 PLN,Łączki Kucharskie,Podkarpackie,2017,116 173 km,Diesel,1 300 cm3
Renault,Master 10 EP Międzynarodówka Tylna Kabina,174 345 PLN,Wrocław,Dolnośląskie,2023,2 km,Diesel,2 298 cm3
